,source,target,dagLevel
38,MV2_AleakMV_raw,MV2_AleakMV,
39,MV2_AleakMV,MV2_AleakSum,
40,MV2_AleakMV,PF_M1_T2_AleakBore,
41,MV2_AleakMV,HU_Ch1_T2_AleakMV,
42,MV3_T3_MV_Type_ID_num,MV3_LmvPF,2.0
43,MV3_T3_MV_Type_ID_num,MV3_DmvMax,2.0
44,MV3_T3_MV_Type_ID_num,MV3_DmvMin,2.0
45,MV3_T3_MV_Type_ID_num,MV3_Emv,2.0
46,MV3_T3_MV_Type_ID_num,MV3_AleakMV_raw,2.0
47,MV3_T3_MV_Type_ID_num,MV3_T3_MV_Supplier_ID_num,2.0
48,MV3_T3_MV_Supplier_ID_num,MV3_LmvPF,2.0
49,MV3_T3_MV_Supplier_ID_num,MV3_DmvMax,2.0
50,MV3_T3_MV_Supplier_ID_num,MV3_DmvMin,2.0
51,MV3_T3_MV_Supplier_ID_num,MV3_Emv,2.0
52,MV3_T3_MV_Supplier_ID_num,MV3_AleakMV_raw,2.0
53,MV3_LmvPF,PF_M1_T3_Force,
54,MV3_DmvMax,MV3_DmvMax_Meas,
55,MV3_DmvMax,PF_M1_T3_deltaD_max,
56,MV3_DmvMin,MV3_DmvMin_Meas,
57,MV3_DmvMin,PF_M1_T3_deltaD_min,
58,MV3_Emv,PF_M1_T3_E_eff_inv,
59,MV3_AleakMV_raw,MV3_AleakMV,
60,MV3_AleakMV,MV3_AleakSum,
61,MV3_AleakMV,PF_M1_T3_AleakBore,
62,MV3_AleakMV,HU_Ch2_T3_AleakMV,
63,MV4_T4_MV_Type_ID_num,MV4_LmvPF,2.0
64,MV4_T4_MV_Type_ID_num,MV4_DmvMax,2.0
65,MV4_T4_MV_Type_ID_num,MV4_DmvMin,2.0
66,MV4_T4_MV_Type_ID_num,MV4_Emv,2.0
67,MV4_T4_MV_Type_ID_num,MV4_AleakMV_raw,2.0
68,MV4_T4_MV_Type_ID_num,MV4_T4_MV_Supplier_ID_num,2.0
69,MV4_T4_MV_Supplier_ID_num,MV4_LmvPF,2.0
70,MV4_T4_MV_Supplier_ID_num,MV4_DmvMax,2.0
71,MV4_T4_MV_Supplier_ID_num,MV4_DmvMin,2.0
72,MV4_T4_MV_Supplier_ID_num,MV4_Emv,2.0
73,MV4_T4_MV_Supplier_ID_num,MV4_AleakMV_raw,2.0
74,MV4_LmvPF,PF_M1_T4_Force,
75,MV4_DmvMax,MV4_DmvMax_Meas,
76,MV4_DmvMax,PF_M1_T4_deltaD_max,
77,MV4_DmvMin,MV4_DmvMin_Meas,
78,MV4_DmvMin,PF_M1_T4_deltaD_min,
79,MV4_Emv,PF_M1_T4_E_eff_inv,
80,MV4_AleakMV_raw,MV4_AleakMV,
81,MV4_AleakMV,MV4_AleakSum,
82,MV4_AleakMV,PF_M1_T4_AleakBore,
83,MV4_AleakMV,HU_Ch2_T4_AleakMV,
84,MV5_T5_MV_Type_ID_num,MV5_LmvPF,2.0
85,MV5_T5_MV_Type_ID_num,MV5_DmvMax,2.0
86,MV5_T5_MV_Type_ID_num,MV5_DmvMin,2.0
87,MV5_T5_MV_Type_ID_num,MV5_Emv,2.0
88,MV5_T5_MV_Type_ID_num,MV5_AleakMV_raw,2.0
89,MV5_T5_MV_Type_ID_num,MV5_T5_MV_Supplier_ID_num,2.0
90,MV5_T5_MV_Supplier_ID_num,MV5_LmvPF,2.0
91,MV5_T5_MV_Supplier_ID_num,MV5_DmvMax,2.0
92,MV5_T5_MV_Supplier_ID_num,MV5_DmvMin,2.0
93,MV5_T5_MV_Supplier_ID_num,MV5_Emv,2.0
94,MV5_T5_MV_Supplier_ID_num,MV5_AleakMV_raw,2.0
95,MV5_LmvPF,PF_M2_T5_Force,
96,MV5_DmvMax,MV5_DmvMax_Meas,
97,MV5_DmvMax,PF_M2_T5_deltaD_max,
98,MV5_DmvMin,MV5_DmvMin_Meas,
99,MV5_DmvMin,PF_M2_T5_deltaD_min,
100,MV5_Emv,PF_M2_T5_E_eff_inv,
101,MV5_AleakMV_raw,MV5_AleakMV,
102,MV5_AleakMV,MV5_AleakSum,
103,MV5_AleakMV,PF_M2_T5_AleakBore,
104,MV5_AleakMV,HU_Ch3_T5_AleakMV,
105,MV6_T6_MV_Type_ID_num,MV6_LmvPF,2.0
106,MV6_T6_MV_Type_ID_num,MV6_DmvMax,2.0
107,MV6_T6_MV_Type_ID_num,MV6_DmvMin,2.0
108,MV6_T6_MV_Type_ID_num,MV6_Emv,2.0
109,MV6_T6_MV_Type_ID_num,MV6_AleakMV_raw,2.0
110,MV6_T6_MV_Type_ID_num,MV6_T6_MV_Supplier_ID_num,2.0
111,MV6_T6_MV_Supplier_ID_num,MV6_LmvPF,2.0
112,MV6_T6_MV_Supplier_ID_num,MV6_DmvMax,2.0
113,MV6_T6_MV_Supplier_ID_num,MV6_DmvMin,2.0
114,MV6_T6_MV_Supplier_ID_num,MV6_Emv,2.0
115,MV6_T6_MV_Supplier_ID_num,MV6_AleakMV_raw,2.0
116,MV6_LmvPF,PF_M2_T6_Force,
117,MV6_DmvMax,MV6_DmvMax_Meas,
118,MV6_DmvMax,PF_M2_T6_deltaD_max,
119,MV6_DmvMin,MV6_DmvMin_Meas,
120,MV6_DmvMin,PF_M2_T6_deltaD_min,
121,MV6_Emv,PF_M2_T6_E_eff_inv,
122,MV6_AleakMV_raw,MV6_AleakMV,
123,MV6_AleakMV,MV6_AleakSum,
124,MV6_AleakMV,PF_M2_T6_AleakBore,
125,MV6_AleakMV,HU_Ch3_T6_AleakMV,
126,MV7_T7_MV_Type_ID_num,MV7_LmvPF,2.0
127,MV7_T7_MV_Type_ID_num,MV7_DmvMax,2.0
128,MV7_T7_MV_Type_ID_num,MV7_DmvMin,2.0
129,MV7_T7_MV_Type_ID_num,MV7_Emv,2.0
130,MV7_T7_MV_Type_ID_num,MV7_AleakMV_raw,2.0
131,MV7_T7_MV_Type_ID_num,MV7_T7_MV_Supplier_ID_num,2.0
132,MV7_T7_MV_Supplier_ID_num,MV7_LmvPF,2.0
133,MV7_T7_MV_Supplier_ID_num,MV7_DmvMax,2.0
134,MV7_T7_MV_Supplier_ID_num,MV7_DmvMin,2.0
135,MV7_T7_MV_Supplier_ID_num,MV7_Emv,2.0
136,MV7_T7_MV_Supplier_ID_num,MV7_AleakMV_raw,2.0
137,MV7_LmvPF,PF_M2_T7_Force,
138,MV7_DmvMax,MV7_DmvMax_Meas,
139,MV7_DmvMax,PF_M2_T7_deltaD_max,
140,MV7_DmvMin,MV7_DmvMin_Meas,
141,MV7_DmvMin,PF_M2_T7_deltaD_min,
142,MV7_Emv,PF_M2_T7_E_eff_inv,
143,MV7_AleakMV_raw,MV7_AleakMV,
144,MV7_AleakMV,MV7_AleakSum,
145,MV7_AleakMV,PF_M2_T7_AleakBore,
146,MV7_AleakMV,HU_Ch4_T7_AleakMV,
147,MV8_T8_MV_Type_ID_num,MV8_LmvPF,2.0
148,MV8_T8_MV_Type_ID_num,MV8_DmvMax,2.0
149,MV8_T8_MV_Type_ID_num,MV8_DmvMin,2.0
150,MV8_T8_MV_Type_ID_num,MV8_Emv,2.0
151,MV8_T8_MV_Type_ID_num,MV8_AleakMV_raw,2.0
152,MV8_T8_MV_Type_ID_num,MV8_T8_MV_Supplier_ID_num,2.0
153,MV8_T8_MV_Supplier_ID_num,MV8_LmvPF,2.0
154,MV8_T8_MV_Supplier_ID_num,MV8_DmvMax,2.0
155,MV8_T8_MV_Supplier_ID_num,MV8_DmvMin,2.0
156,MV8_T8_MV_Supplier_ID_num,MV8_Emv,2.0
157,MV8_T8_MV_Supplier_ID_num,MV8_AleakMV_raw,2.0
158,MV8_LmvPF,PF_M2_T8_Force,
159,MV8_DmvMax,MV8_DmvMax_Meas,
160,MV8_DmvMax,PF_M2_T8_deltaD_max,
161,MV8_DmvMin,MV8_DmvMin_Meas,
162,MV8_DmvMin,PF_M2_T8_deltaD_min,
163,MV8_Emv,PF_M2_T8_E_eff_inv,
164,MV8_AleakMV_raw,MV8_AleakMV,
165,MV8_AleakMV,MV8_AleakSum,
166,MV8_AleakMV,PF_M2_T8_AleakBore,
167,MV8_AleakMV,HU_Ch4_T8_AleakMV,
168,HU_HU_Block_Type_ID_num,HU_Ehu,2.0
169,HU_HU_Block_Type_ID_num,HU_Force_Lim_Deform,2.0
170,HU_HU_Block_Type_ID_num,HU_Ch1_HU_Block_Type_ID_num,2.0
171,HU_HU_Block_Type_ID_num,HU_Ch1_Vchamber,2.0
172,HU_HU_Block_Type_ID_num,HU_Ch1_Vchamber_part_REF,2.0
173,HU_HU_Block_Type_ID_num,HU_T1_BorePosition_ID_num,2.0
174,HU_HU_Block_Type_ID_num,HU_T1_DboreMax,2.0
175,HU_HU_Block_Type_ID_num,HU_T1_DboreMin,2.0
176,HU_HU_Block_Type_ID_num,HU_T2_BorePosition_ID_num,2.0
177,HU_HU_Block_Type_ID_num,HU_T2_DboreMax,2.0
178,HU_HU_Block_Type_ID_num,HU_T2_DboreMin,2.0
179,HU_HU_Block_Type_ID_num,HU_Ch2_HU_Block_Type_ID_num,2.0
180,HU_HU_Block_Type_ID_num,HU_Ch2_Vchamber,2.0
181,HU_HU_Block_Type_ID_num,HU_Ch2_Vchamber_part_REF,2.0
182,HU_HU_Block_Type_ID_num,HU_T3_BorePosition_ID_num,2.0
183,HU_HU_Block_Type_ID_num,HU_T3_DboreMax,2.0
184,HU_HU_Block_Type_ID_num,HU_T3_DboreMin,2.0
185,HU_HU_Block_Type_ID_num,HU_T4_BorePosition_ID_num,2.0
186,HU_HU_Block_Type_ID_num,HU_T4_DboreMax,2.0
187,HU_HU_Block_Type_ID_num,HU_T4_DboreMin,2.0
188,HU_HU_Block_Type_ID_num,HU_Ch3_HU_Block_Type_ID_num,2.0
189,HU_HU_Block_Type_ID_num,HU_Ch3_Vchamber,2.0
190,HU_HU_Block_Type_ID_num,HU_Ch3_Vchamber_part_REF,2.0
191,HU_HU_Block_Type_ID_num,HU_T5_BorePosition_ID_num,2.0
192,HU_HU_Block_Type_ID_num,HU_T5_DboreMax,2.0
193,HU_HU_Block_Type_ID_num,HU_T5_DboreMin,2.0
194,HU_HU_Block_Type_ID_num,HU_T6_BorePosition_ID_num,2.0
195,HU_HU_Block_Type_ID_num,HU_T6_DboreMax,2.0
196,HU_HU_Block_Type_ID_num,HU_T6_DboreMin,2.0
197,HU_HU_Block_Type_ID_num,HU_Ch4_HU_Block_Type_ID_num,2.0
198,HU_HU_Block_Type_ID_num,HU_Ch4_Vchamber,2.0
199,HU_HU_Block_Type_ID_num,HU_Ch4_Vchamber_part_REF,2.0
200,HU_HU_Block_Type_ID_num,HU_T7_BorePosition_ID_num,2.0
201,HU_HU_Block_Type_ID_num,HU_T7_DboreMax,2.0
202,HU_HU_Block_Type_ID_num,HU_T7_DboreMin,2.0
203,HU_HU_Block_Type_ID_num,HU_T8_BorePosition_ID_num,2.0
204,HU_HU_Block_Type_ID_num,HU_T8_DboreMax,2.0
205,HU_HU_Block_Type_ID_num,HU_T8_DboreMin,2.0
206,HU_HU_Block_Type_ID_num,HU_HU_Block_Supplier_ID_num,2.0
207,HU_HU_Block_Type_ID_num,PF_M1_T3_s0_LTL,2.0
208,HU_HU_Block_Type_ID_num,PF_M1_T3_s0_UTL,2.0
209,HU_HU_Block_Type_ID_num,PF_M1_T3_Force_LTL,2.0
210,HU_HU_Block_Type_ID_num,PF_M1_T3_Force_UTL,2.0
211,HU_HU_Block_Type_ID_num,PF_M1_T3_sgrad_LTL,2.0
212,HU_HU_Block_Type_ID_num,PF_M1_T3_sgrad_UTL,2.0
213,HU_HU_Block_Type_ID_num,PF_M1_T3_Fmax_LTL,2.0
214,HU_HU_Block_Type_ID_num,PF_M1_T3_Fmax_UTL,2.0
215,HU_HU_Block_Type_ID_num,PF_M1_T3_smax_LTL,2.0
216,HU_HU_Block_Type_ID_num,PF_M1_T3_smax_UTL,2.0
217,HU_HU_Block_Type_ID_num,PF_M1_T4_s0_LTL,2.0
218,HU_HU_Block_Type_ID_num,PF_M1_T4_s0_UTL,2.0
219,HU_HU_Block_Type_ID_num,PF_M1_T4_Force_LTL,2.0
220,HU_HU_Block_Type_ID_num,PF_M1_T4_Force_UTL,2.0
221,HU_HU_Block_Type_ID_num,PF_M1_T4_sgrad_LTL,2.0
222,HU_HU_Block_Type_ID_num,PF_M1_T4_sgrad_UTL,2.0
223,HU_HU_Block_Type_ID_num,PF_M1_T4_Fmax_LTL,2.0
224,HU_HU_Block_Type_ID_num,PF_M1_T4_Fmax_UTL,2.0
225,HU_HU_Block_Type_ID_num,PF_M1_T4_smax_LTL,2.0
226,HU_HU_Block_Type_ID_num,PF_M1_T4_smax_UTL,2.0
227,HU_HU_Block_Type_ID_num,PF_M1_T1_s0_LTL,2.0
228,HU_HU_Block_Type_ID_num,PF_M1_T1_s0_UTL,2.0
229,HU_HU_Block_Type_ID_num,PF_M1_T1_Force_LTL,2.0
230,HU_HU_Block_Type_ID_num,PF_M1_T1_Force_UTL,2.0
231,HU_HU_Block_Type_ID_num,PF_M1_T1_sgrad_LTL,2.0
232,HU_HU_Block_Type_ID_num,PF_M1_T1_sgrad_UTL,2.0
233,HU_HU_Block_Type_ID_num,PF_M1_T1_Fmax_LTL,2.0
234,HU_HU_Block_Type_ID_num,PF_M1_T1_Fmax_UTL,2.0
235,HU_HU_Block_Type_ID_num,PF_M1_T1_smax_LTL,2.0
236,HU_HU_Block_Type_ID_num,PF_M1_T1_smax_UTL,2.0
237,HU_HU_Block_Type_ID_num,PF_M1_T2_s0_LTL,2.0
238,HU_HU_Block_Type_ID_num,PF_M1_T2_s0_UTL,2.0
239,HU_HU_Block_Type_ID_num,PF_M1_T2_Force_LTL,2.0
240,HU_HU_Block_Type_ID_num,PF_M1_T2_Force_UTL,2.0
241,HU_HU_Block_Type_ID_num,PF_M1_T2_sgrad_LTL,2.0
242,HU_HU_Block_Type_ID_num,PF_M1_T2_sgrad_UTL,2.0
243,HU_HU_Block_Type_ID_num,PF_M1_T2_Fmax_LTL,2.0
244,HU_HU_Block_Type_ID_num,PF_M1_T2_Fmax_UTL,2.0
245,HU_HU_Block_Type_ID_num,PF_M1_T2_smax_LTL,2.0
246,HU_HU_Block_Type_ID_num,PF_M1_T2_smax_UTL,2.0
247,HU_HU_Block_Type_ID_num,PF_M2_T7_s0_LTL,2.0
248,HU_HU_Block_Type_ID_num,PF_M2_T7_s0_UTL,2.0
249,HU_HU_Block_Type_ID_num,PF_M2_T7_Force_LTL,2.0
250,HU_HU_Block_Type_ID_num,PF_M2_T7_Force_UTL,2.0
251,HU_HU_Block_Type_ID_num,PF_M2_T7_sgrad_LTL,2.0
252,HU_HU_Block_Type_ID_num,PF_M2_T7_sgrad_UTL,2.0
253,HU_HU_Block_Type_ID_num,PF_M2_T7_Fmax_LTL,2.0
254,HU_HU_Block_Type_ID_num,PF_M2_T7_Fmax_UTL,2.0
255,HU_HU_Block_Type_ID_num,PF_M2_T7_smax_LTL,2.0
256,HU_HU_Block_Type_ID_num,PF_M2_T7_smax_UTL,2.0
257,HU_HU_Block_Type_ID_num,PF_M2_T8_s0_LTL,2.0
258,HU_HU_Block_Type_ID_num,PF_M2_T8_s0_UTL,2.0
259,HU_HU_Block_Type_ID_num,PF_M2_T8_Force_LTL,2.0
260,HU_HU_Block_Type_ID_num,PF_M2_T8_Force_UTL,2.0
261,HU_HU_Block_Type_ID_num,PF_M2_T8_sgrad_LTL,2.0
262,HU_HU_Block_Type_ID_num,PF_M2_T8_sgrad_UTL,2.0
263,HU_HU_Block_Type_ID_num,PF_M2_T8_Fmax_LTL,2.0
264,HU_HU_Block_Type_ID_num,PF_M2_T8_Fmax_UTL,2.0
265,HU_HU_Block_Type_ID_num,PF_M2_T8_smax_LTL,2.0
266,HU_HU_Block_Type_ID_num,PF_M2_T8_smax_UTL,2.0
267,HU_HU_Block_Type_ID_num,PF_M2_T5_s0_LTL,2.0
268,HU_HU_Block_Type_ID_num,PF_M2_T5_s0_UTL,2.0
269,HU_HU_Block_Type_ID_num,PF_M2_T5_Force_LTL,2.0
270,HU_HU_Block_Type_ID_num,PF_M2_T5_Force_UTL,2.0
271,HU_HU_Block_Type_ID_num,PF_M2_T5_sgrad_LTL,2.0
272,HU_HU_Block_Type_ID_num,PF_M2_T5_sgrad_UTL,2.0
273,HU_HU_Block_Type_ID_num,PF_M2_T5_Fmax_LTL,2.0
274,HU_HU_Block_Type_ID_num,PF_M2_T5_Fmax_UTL,2.0
275,HU_HU_Block_Type_ID_num,PF_M2_T5_smax_LTL,2.0
276,HU_HU_Block_Type_ID_num,PF_M2_T5_smax_UTL,2.0
277,HU_HU_Block_Type_ID_num,PF_M2_T6_s0_LTL,2.0
278,HU_HU_Block_Type_ID_num,PF_M2_T6_s0_UTL,2.0
279,HU_HU_Block_Type_ID_num,PF_M2_T6_Force_LTL,2.0
280,HU_HU_Block_Type_ID_num,PF_M2_T6_Force_UTL,2.0
281,HU_HU_Block_Type_ID_num,PF_M2_T6_sgrad_LTL,2.0
282,HU_HU_Block_Type_ID_num,PF_M2_T6_sgrad_UTL,2.0
283,HU_HU_Block_Type_ID_num,PF_M2_T6_Fmax_LTL,2.0
284,HU_HU_Block_Type_ID_num,PF_M2_T6_Fmax_UTL,2.0
285,HU_HU_Block_Type_ID_num,PF_M2_T6_smax_LTL,2.0
286,HU_HU_Block_Type_ID_num,PF_M2_T6_smax_UTL,2.0
287,HU_HU_Block_Supplier_ID_num,HU_Ehu,2.0
288,HU_HU_Block_Supplier_ID_num,HU_Force_Lim_Deform,2.0
289,HU_HU_Block_Supplier_ID_num,HU_Ch1_HU_Block_Type_ID_num,2.0
290,HU_HU_Block_Supplier_ID_num,HU_Ch1_Vchamber,2.0
291,HU_HU_Block_Supplier_ID_num,HU_Ch1_Vchamber_part_REF,2.0
292,HU_HU_Block_Supplier_ID_num,HU_T1_BorePosition_ID_num,2.0
293,HU_HU_Block_Supplier_ID_num,HU_T1_DboreMax,2.0
294,HU_HU_Block_Supplier_ID_num,HU_T1_DboreMin,2.0
295,HU_HU_Block_Supplier_ID_num,HU_T2_BorePosition_ID_num,2.0
296,HU_HU_Block_Supplier_ID_num,HU_T2_DboreMax,2.0
297,HU_HU_Block_Supplier_ID_num,HU_T2_DboreMin,2.0
298,HU_HU_Block_Supplier_ID_num,HU_Ch2_HU_Block_Type_ID_num,2.0
299,HU_HU_Block_Supplier_ID_num,HU_Ch2_Vchamber,2.0
300,HU_HU_Block_Supplier_ID_num,HU_Ch2_Vchamber_part_REF,2.0
301,HU_HU_Block_Supplier_ID_num,HU_T3_BorePosition_ID_num,2.0
302,HU_HU_Block_Supplier_ID_num,HU_T3_DboreMax,2.0
303,HU_HU_Block_Supplier_ID_num,HU_T3_DboreMin,2.0
304,HU_HU_Block_Supplier_ID_num,HU_T4_BorePosition_ID_num,2.0
305,HU_HU_Block_Supplier_ID_num,HU_T4_DboreMax,2.0
306,HU_HU_Block_Supplier_ID_num,HU_T4_DboreMin,2.0
307,HU_HU_Block_Supplier_ID_num,HU_Ch3_HU_Block_Type_ID_num,2.0
308,HU_HU_Block_Supplier_ID_num,HU_Ch3_Vchamber,2.0
309,HU_HU_Block_Supplier_ID_num,HU_Ch3_Vchamber_part_REF,2.0
310,HU_HU_Block_Supplier_ID_num,HU_T5_BorePosition_ID_num,2.0
311,HU_HU_Block_Supplier_ID_num,HU_T5_DboreMax,2.0
312,HU_HU_Block_Supplier_ID_num,HU_T5_DboreMin,2.0
313,HU_HU_Block_Supplier_ID_num,HU_T6_BorePosition_ID_num,2.0
314,HU_HU_Block_Supplier_ID_num,HU_T6_DboreMax,2.0
315,HU_HU_Block_Supplier_ID_num,HU_T6_DboreMin,2.0
316,HU_HU_Block_Supplier_ID_num,HU_Ch4_HU_Block_Type_ID_num,2.0
317,HU_HU_Block_Supplier_ID_num,HU_Ch4_Vchamber,2.0
318,HU_HU_Block_Supplier_ID_num,HU_Ch4_Vchamber_part_REF,2.0
319,HU_HU_Block_Supplier_ID_num,HU_T7_BorePosition_ID_num,2.0
320,HU_HU_Block_Supplier_ID_num,HU_T7_DboreMax,2.0
321,HU_HU_Block_Supplier_ID_num,HU_T7_DboreMin,2.0
322,HU_HU_Block_Supplier_ID_num,HU_T8_BorePosition_ID_num,2.0
323,HU_HU_Block_Supplier_ID_num,HU_T8_DboreMax,2.0
324,HU_HU_Block_Supplier_ID_num,HU_T8_DboreMin,2.0
325,HU_Ehu,PF_M1_T3_E_eff_inv,
326,HU_Ehu,PF_M1_T4_E_eff_inv,
327,HU_Ehu,PF_M1_T1_E_eff_inv,
328,HU_Ehu,PF_M1_T2_E_eff_inv,
329,HU_Ehu,PF_M2_T7_E_eff_inv,
330,HU_Ehu,PF_M2_T8_E_eff_inv,
331,HU_Ehu,PF_M2_T5_E_eff_inv,
332,HU_Ehu,PF_M2_T6_E_eff_inv,
333,HU_Force_Lim_Deform,PF_M2_T7_delta_Force_Deform,
334,HU_Force_Lim_Deform,PF_M2_T8_delta_Force_Deform,
335,HU_Force_Lim_Deform,PF_M2_T5_delta_Force_Deform,
336,HU_Force_Lim_Deform,PF_M2_T6_delta_Force_Deform,
337,HU_Ch1_Vchamber,EOL_HU_Ch1_Vchamber,
338,HU_Ch1_Vchamber_part_REF,EOL_HU_Ch1_Vchamber_part_REF,
339,HU_Ch1_T2_AleakPF,HU_Ch1_AleakChamber,
340,HU_Ch1_AleakChamber,EOL_HU_Ch1_AleakChamber,
341,HU_Ch1_T2_AleakMV,HU_Ch1_AleakChamber,
342,HU_Ch1_T1_AleakMV,HU_Ch1_AleakChamber,
343,HU_Ch1_T1_AleakPF,HU_Ch1_AleakChamber,
344,HU_T1_DboreMax,HU_T1_DboreMax_Meas,
345,HU_T1_DboreMax,PF_M1_T1_deltaD_min,
346,HU_T1_DboreMin,HU_T1_DboreMin_Meas,
347,HU_T1_DboreMin,PF_M1_T1_deltaD_max,
348,HU_T2_DboreMax,HU_T2_DboreMax_Meas,
349,HU_T2_DboreMax,PF_M1_T2_deltaD_min,
350,HU_T2_DboreMin,HU_T2_DboreMin_Meas,
351,HU_T2_DboreMin,PF_M1_T2_deltaD_max,
352,HU_Ch2_Vchamber,EOL_HU_Ch2_Vchamber,
353,HU_Ch2_Vchamber_part_REF,EOL_HU_Ch2_Vchamber_part_REF,
354,HU_Ch2_T3_AleakPF,HU_Ch2_AleakChamber,
355,HU_Ch2_AleakChamber,EOL_HU_Ch2_AleakChamber,
356,HU_Ch2_T4_AleakMV,HU_Ch2_AleakChamber,
357,HU_Ch2_T4_AleakPF,HU_Ch2_AleakChamber,
358,HU_Ch2_T3_AleakMV,HU_Ch2_AleakChamber,
359,HU_T3_DboreMax,HU_T3_DboreMax_Meas,
360,HU_T3_DboreMax,PF_M1_T3_deltaD_min,
361,HU_T3_DboreMin,HU_T3_DboreMin_Meas,
362,HU_T3_DboreMin,PF_M1_T3_deltaD_max,
363,HU_T4_DboreMax,HU_T4_DboreMax_Meas,
364,HU_T4_DboreMax,PF_M1_T4_deltaD_min,
365,HU_T4_DboreMin,HU_T4_DboreMin_Meas,
366,HU_T4_DboreMin,PF_M1_T4_deltaD_max,
367,HU_Ch3_Vchamber,EOL_HU_Ch3_Vchamber,
368,HU_Ch3_Vchamber_part_REF,EOL_HU_Ch3_Vchamber_part_REF,
369,HU_Ch3_T5_AleakMV,HU_Ch3_AleakChamber,
370,HU_Ch3_AleakChamber,EOL_HU_Ch3_AleakChamber,
371,HU_Ch3_T6_AleakPF,HU_Ch3_AleakChamber,
372,HU_Ch3_T6_AleakMV,HU_Ch3_AleakChamber,
373,HU_Ch3_T5_AleakPF,HU_Ch3_AleakChamber,
374,HU_T5_DboreMax,HU_T5_DboreMax_Meas,
375,HU_T5_DboreMax,PF_M2_T5_deltaD_min,
376,HU_T5_DboreMin,HU_T5_DboreMin_Meas,
377,HU_T5_DboreMin,PF_M2_T5_deltaD_max,
378,HU_T6_DboreMax,HU_T6_DboreMax_Meas,
379,HU_T6_DboreMax,PF_M2_T6_deltaD_min,
380,HU_T6_DboreMin,HU_T6_DboreMin_Meas,
381,HU_T6_DboreMin,PF_M2_T6_deltaD_max,
382,HU_Ch4_Vchamber,EOL_HU_Ch4_Vchamber,
383,HU_Ch4_Vchamber_part_REF,EOL_HU_Ch4_Vchamber_part_REF,
384,HU_Ch4_T7_AleakMV,HU_Ch4_AleakChamber,
385,HU_Ch4_AleakChamber,EOL_HU_Ch4_AleakChamber,
386,HU_Ch4_T7_AleakPF,HU_Ch4_AleakChamber,
387,HU_Ch4_T8_AleakMV,HU_Ch4_AleakChamber,
388,HU_Ch4_T8_AleakPF,HU_Ch4_AleakChamber,
389,HU_T7_DboreMax,HU_T7_DboreMax_Meas,
390,HU_T7_DboreMax,PF_M2_T7_deltaD_min,
391,HU_T7_DboreMin,HU_T7_DboreMin_Meas,
392,HU_T7_DboreMin,PF_M2_T7_deltaD_max,
393,HU_T8_DboreMax,HU_T8_DboreMax_Meas,
394,HU_T8_DboreMax,PF_M2_T8_deltaD_min,
395,HU_T8_DboreMin,HU_T8_DboreMin_Meas,
396,HU_T8_DboreMin,PF_M2_T8_deltaD_max,
397,HU_T1_DboreMin_Meas,HU_T1_DboreMin_Meas_LTL_MpGood,
